date,apino,sql
2023-11-30 14:08:54,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:08:58,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:10:46,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:10:53,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:12:03,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:13:19,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:16:45,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:17:47,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:18:18,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:18:57,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:19:42,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:20:31,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:20:45,js91,"select org1000.jt_id,org1000.name,org1000.website,org1000.industry from org1000 as org1000 where numberofemployees>100 and jetelina_delete_flg=0"
2023-11-30 14:24:17,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:24:19,js91,"select org1000.jt_id,org1000.name,org1000.website,org1000.industry from org1000 as org1000 where numberofemployees>100 and jetelina_delete_flg=0"
2023-11-30 14:24:23,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:24:25,js91,"select org1000.jt_id,org1000.name,org1000.website,org1000.industry from org1000 as org1000 where numberofemployees>100 and jetelina_delete_flg=0"
2023-11-30 14:24:33,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:24:34,js91,"select org1000.jt_id,org1000.name,org1000.website,org1000.industry from org1000 as org1000 where numberofemployees>100 and jetelina_delete_flg=0"
2023-11-30 14:24:59,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:25:07,js91,"select org1000.jt_id,org1000.name,org1000.website,org1000.industry from org1000 as org1000 where numberofemployees>100 and jetelina_delete_flg=0"
2023-12-01 10:12:55,js95,"select people1000.firstname,people1000.lastname,org1000.name,org1000.website from people1000 as people1000,org1000 as org1000 where people1000.sex='Male' and org1000.numberofemployees>100 and jetelina_delete_flg=0"
2023-12-01 11:19:39,js95,"select people1000.firstname,people1000.lastname,org1000.name,org1000.website from people1000 as people1000,org1000 as org1000 where people1000.sex='Male' and org1000.numberofemployees>100 and people1000.jetelina_delete_flg=0 and org1000.jetelina_delete_flg=0"
2023-12-01 11:20:48,js95,"select people1000.firstname,people1000.lastname,org1000.name,org1000.website from people1000 as people1000,org1000 as org1000 where people1000.sex='Male' and org1000.numberofemployees>100 and people1000.jetelina_delete_flg=0 and org1000.jetelina_delete_flg=0"
2023-12-01 11:28:31,js95,"select people1000.firstname,people1000.lastname,org1000.name,org1000.website from people1000 as people1000,org1000 as org1000 where people1000.sex='Male' and org1000.numberofemployees>100 and people1000.jetelina_delete_flg=0 and org1000.jetelina_delete_flg=0"
2023-12-01 11:30:43,js95,"select people1000.firstname,people1000.lastname,org1000.name,org1000.website from people1000 as people1000,org1000 as org1000 where people1000.sex='Male' and org1000.numberofemployees>100 and people1000.jetelina_delete_flg=0 and org1000.jetelina_delete_flg=0"
2023-12-01 11:30:45,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-12-01 11:30:46,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-12-01 11:30:46,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-12-01 11:31:38,js95,"select people1000.firstname,people1000.lastname,org1000.name,org1000.website from people1000 as people1000,org1000 as org1000 where people1000.sex='Male' and org1000.numberofemployees>100 and people1000.jetelina_delete_flg=0 and org1000.jetelina_delete_flg=0"
